source,target
"nausea, productive cough, shortness of breath, chest pain, fever for a week",pneumonia
persistent sadness,depression
"moderate nausea, vomiting, diarrhea, runny nose and stomach cramps",gastroenteritis
"nausea, loss of appetite, fever",appendicitis
right lower abdominal pain,appendicitis
vomiting,depression
runny nose and itchy eyes,allergic_rhinitis
sneezing,allergic_rhinitis
severe runny nose,otitis_media
fractures and loss of height,osteoporosis
Patient reports fatigue and body ache,influenza
"persistent sadness, fatigue",depression
"I have chest pain, left arm pain, sweating, shortness of breath",heart_disease
mild shortness of breath and chest tightness since yesterday,asthma
"sleep disturbance, rapid heartbeat, trembling",depression
"chest pain, productive cough",pneumonia
"loss of interest, sleep disturbance",depression
severe fever and sore throat,influenza
"sneezing, mild cough, nasal congestion, runny nose and fatigue",common_cold
"trembling, sweating and rapid heartbeat",anxiety
lower abdominal pain,urinary_tract_infection
I have wheezing,asthma
"chest pain, shortness of breath",pneumonia
"nasal congestion, persistent cough, runny nose, chest discomfort, sneezing",common_cold
blurred vision,diabetes
"shortness of breath, sweating",heart_disease
shortness of breath and nausea,bronchitis
"Patient reports left arm pain, shortness of breath, night cough, sweating, chest tightness, wheezing",asthma
"ear drainage, hearing difficulty and nausea",migraine
"shortness of breath, left arm pain, sweating since yesterday",heart_disease
"Patient reports burning urination, lower abdominal pain",urinary_tract_infection
"restlessness, trembling, rapid heartbeat, sweating",anxiety
Patient reports loss of smell,covid-19
"sweating, trembling",anxiety
"chest pain, fever, shortness of breath, productive cough",pneumonia
"headache, nosebleed",hypertension
red patches and itchy skin,eczema
"Complains of vomiting, stomach cramps, diarrhea, nausea",gastroenteritis
"moderate cough, fever, fatigue and sore throat",influenza
"moderate blurred vision, headache, nosebleed, dizziness",hypertension
"Patient reports runny nose, nasal congestion, sneezing, nausea for 2 days",common_cold
I have dry cough,covid-19
"visual aura, severe headache for 2 days",migraine
nasal congestion,allergic_rhinitis
"moderate restlessness, rapid heartbeat and trembling",anxiety
"nausea, right lower abdominal pain, loss of appetite and fever",appendicitis
dizziness,anemia
"stomach cramps, diarrhea, nausea",gastroenteritis
"sore throat, chills, body ache, fatigue",influenza
"fever, shortness of breath, cough",influenza
"productive cough, shortness of breath, chest pain, fever",pneumonia
sweating,heart_disease
Patient reports body ache,influenza
"sneezing, trembling, mild cough, nasal congestion, restlessness",common_cold
"I have rapid heartbeat, sweating, trembling",anxiety
"hearing difficulty, fever, ear drainage",otitis_media
"I have sweating, restlessness",anxiety
"ear drainage, ear pain, fever, hearing difficulty",otitis_media
fever,covid-19
"severe headache, sensitivity to light and visual aura",migraine
"nausea, right lower abdominal pain",appendicitis
"loss of taste, loss of interest, sleep disturbance and fatigue",depression
"Patient reports sneezing, mild cough, runny nose, sleep disturbance, nasal congestion",common_cold
"fever, productive cough, shortness of breath, chest pain",pneumonia
"Complains of shortness of breath, dizziness, fatigue, fatigue",anemia
"sweating, rapid heartbeat, restlessness, trembling",anxiety
"chest pain, shortness of breath",heart_disease
"runny nose, sneezing",allergic_rhinitis
"moderate loss of height, fractures, back pain, bone pain",osteoporosis
"fever, loss of taste, dry cough, loss of smell and fatigue since yesterday",covid-19
"shortness of breath, productive cough, fever for 2 days",pneumonia
fractures,osteoporosis
wheezing,asthma
"right lower abdominal pain, nausea, fever",appendicitis
sneezing,allergic_rhinitis
"mild cough, runny nose and sneezing",common_cold
